"directorio","secuencia_p","orden","clase","dominio","age","sex","estrato1","p6210","p6240","mes","relab","p6426","p6870","p6920","p7040","p7070","y_total_m_ha","maxEducLevel","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","college","depto","ingtot"
4514438,1,1,1,"BOGOTA",59,1,3,3,1,1,1,336,9,1,2,0,5670.3564453125,3,48,1,0,0,0,5,1166473.375,0,11,1.42647333333333e-06
4514438,1,2,1,"BOGOTA",57,0,3,3,1,1,3,12,1,1,2,0,7583.33349609375,4,40,1,0,0,1,1,1300000,0,11,1.3e-06
4514439,1,2,1,"BOGOTA",61,0,3,3,1,1,4,60,1,2,2,0,2187.5,3,48,0,1,1,1,1,450000,0,11,4.5e-07
4514439,1,1,1,"BOGOTA",52,1,3,3,1,1,4,78,1,2,2,0,3888.88891601562,4,48,0,1,1,1,1,8e+05,0,11,8e-07
4514440,1,1,1,"BOGOTA",43,1,3,5,1,1,1,24,3,2,2,0,2871.794921875,6,65,0,1,0,1,2,8e+05,1,11,8e-07
4514442,1,1,1,"BOGOTA",42,1,2,6,1,1,1,43,9,1,2,0,6824.06005859375,7,48,1,0,0,0,5,1403806.625,0,11,1.40380666666667e-06
4514446,1,2,1,"BOGOTA",26,0,4,6,1,1,1,7,2,2,2,0,11666.6669921875,7,60,0,1,0,1,2,3e+06,0,11,3e-06
4514446,1,1,1,"BOGOTA",48,0,4,4,1,1,5,7,2,2,2,0,15555.5556640625,5,60,0,1,0,1,2,4e+06,0,11,5e-06
4514448,1,3,1,"BOGOTA",22,1,2,5,1,1,1,13,6,1,2,0,3990.27709960938,6,48,1,0,0,0,4,820857,1,11,8.20857e-07
4514449,1,5,1,"BOGOTA",41,0,3,6,1,1,1,120,9,1,2,0,15798.611328125,7,48,1,0,0,0,5,3250000,0,11,3.25e-06
4514450,1,3,1,"BOGOTA",44,0,2,5,1,1,1,144,9,1,2,0,6095.83349609375,6,48,1,0,0,0,5,1254000,1,11,1.254e-06
